Question,Context,Answer,input_with_kg
"Where did Rama, Lakshman, and Sita first encounter Jatáyus?","The meeting with the vulture king happened as they traveled to their new home. They first encountered Jatáyus on their way to Panchavati, after leaving the hermitage of Agastya.","They first encountered Jatáyus on their way to Panchavati, after leaving the hermitage of Agastya.","Question: Where did Rama, Lakshman, and Sita first encounter Jatáyus? Context: The meeting with the vulture king happened as they traveled to their new home. They first encountered Jatáyus on their way to Panchavati, after leaving the hermitage of Agastya. Knowledge: Rama rescues Sita | Lakshmana accompanies Rama | Lakshmana departs_before Rama"
What was Dasaratha's emotional accusation regarding Kaikeyi's inner state that prompted her demands?,"The king believed his wife must be possessed to act so cruelly. He questioned, 'Have goblins seized thy soul, O dame, Who thus canst speak and feel no shame? Thy mind with sin is sicklied o'er, From thy first youth ne'er seen before'.","He questioned, 'Have goblins seized thy soul, O dame, Who thus canst speak and feel no shame? Thy mind with sin is sicklied o'er, From thy first youth ne'er seen before'.","Question: What was Dasaratha's emotional accusation regarding Kaikeyi's inner state that prompted her demands? Context: The king believed his wife must be possessed to act so cruelly. He questioned, 'Have goblins seized thy soul, O dame, Who thus canst speak and feel no shame? Thy mind with sin is sicklied o'er, From thy first youth ne'er seen before'. Knowledge: Manthara's Conspiracy leads_to Kaikeyi demanding her two boons | Kaikeyi demands Rama’s exile | Kaikeyi demands Two boons"
"What specific qualities made Rama a just and benevolent ruler, according to his people?","The people saw Rama as the ideal protector and king. Rama protected those who sought his protection, restrained evil-doers, and constantly sought the welfare of his subjects. He was renowned in the three worlds, in forbearance resembling the earth, in wisdom equal to Brihaspati, and in courage like Indra. He destroyed those meriting death but showed mercy to the innocent.","Rama protected those who sought his protection, restrained evil-doers, and constantly sought the welfare of his subjects. He was renowned in the three worlds, in forbearance resembling the earth, in wisdom equal to Brihaspati, and in courage like Indra. He destroyed those meriting death but showed mercy to the innocent.","Question: What specific qualities made Rama a just and benevolent ruler, according to his people? Context: The people saw Rama as the ideal protector and king. Rama protected those who sought his protection, restrained evil-doers, and constantly sought the welfare of his subjects. He was renowned in the three worlds, in forbearance resembling the earth, in wisdom equal to Brihaspati, and in courage like Indra. He destroyed those meriting death but showed mercy to the innocent. Knowledge: Rama worships Vishnu | Rama symbolizes Dharma | Rama exemplifies Raja Dharma"
Who did Ravana order to interrogate Hanuman?,"The king delegated the task of questioning the captive. He ordered his chief counsellor, Prahasta, to question him.","He ordered his chief counsellor, Prahasta, to question him.","Question: Who did Ravana order to interrogate Hanuman? Context: The king delegated the task of questioning the captive. He ordered his chief counsellor, Prahasta, to question him. Knowledge: Hanuman kills Ahiravana | Hanuman is_captured_by Indrajit | Ravana's Abduction of Sita is_a_prime_act_of Adharma"
Who is Lakshmana's twin brother?,"Lakshmana and his twin brother Shatrughna were born to Queen Sumitra, the third wife of King Dasharatha.",Shatrughna,"Question: Who is Lakshmana's twin brother? Context: Lakshmana and his twin brother Shatrughna were born to Queen Sumitra, the third wife of King Dasharatha. Knowledge: Lakshmana brother_of Rama | Lakshmana husband_of Urmila | Urmila marries Lakshmana"
What did Angada condemn Sugriva for?,"In his despair, Angada listed his uncle's perceived transgressions. Angada condemned Sugriva for uniting with Tara, his elder brother's wife, while her son was still living. He also condemned him for trapping Vali in the cave and for forgetting the favors he received from Rama.","Angada condemned Sugriva for uniting with Tara, his elder brother's wife, while her son was still living. He also condemned him for trapping Vali in the cave and for forgetting the favors he received from Rama.","Question: What did Angada condemn Sugriva for? Context: In his despair, Angada listed his uncle's perceived transgressions. Angada condemned Sugriva for uniting with Tara, his elder brother's wife, while her son was still living. He also condemned him for trapping Vali in the cave and for forgetting the favors he received from Rama. Knowledge: Vali's Killing purpose To forge an alliance with Sugriva | Vali is_brother_of Sugriva | Sugriva brother_of Vali"
"Describe the circumstances of King Dasaratha's accidental killing of the ascetic, including the location and time of year.","The tragic incident happened during a nighttime hunt. It happened during the rainy season when refreshing clouds covered the sky. King Dasaratha, taking his bow and arrows in his chariot, went to the bank of the river Sarayu to hunt at night, where buffaloes, elephants, and tigers came to drink.","It happened during the rainy season when refreshing clouds covered the sky. King Dasaratha, taking his bow and arrows in his chariot, went to the bank of the river Sarayu to hunt at night, where buffaloes, elephants, and tigers came to drink.","Question: Describe the circumstances of King Dasaratha's accidental killing of the ascetic, including the location and time of year. Context: The tragic incident happened during a nighttime hunt. It happened during the rainy season when refreshing clouds covered the sky. King Dasaratha, taking his bow and arrows in his chariot, went to the bank of the river Sarayu to hunt at night, where buffaloes, elephants, and tigers came to drink. Knowledge: Sita's Second Exile is_a Tragic event | Kumbhakarna killed_by Rama | Jatayu killed_by Ravana"
Which three examples did Kaikeyi provide to reinforce the importance of a king's truthfulness?,"To support her argument, the queen cited historical precedents of keeping one's word. King Saivya (who gave his flesh for a hawk and dove), King Alarka (who gave his eyes for a Brahmin's promise), and the Lord of Rivers (Ocean) (who keeps his bounds).","King Saivya (who gave his flesh for a hawk and dove), King Alarka (who gave his eyes for a Brahmin's promise), and the Lord of Rivers (Ocean) (who keeps his bounds).","Question: Which three examples did Kaikeyi provide to reinforce the importance of a king's truthfulness? Context: To support her argument, the queen cited historical precedents of keeping one's word. King Saivya (who gave his flesh for a hawk and dove), King Alarka (who gave his eyes for a Brahmin's promise), and the Lord of Rivers (Ocean) (who keeps his bounds). Knowledge: Kaikeyi demands Two boons | Kaikeyi demands Rama’s exile | Kaikeyi's Two Boons is_a Pivotal Demand"
What reproaches or accusations did Rama direct towards Lakshman in his overwhelming grief?,"In his moment of weakness, Rama turned his grief on his loyal brother. In his agony, Rama unfairly blamed Lakshman for leaving Sita alone, questioning why he had disobeyed his orders, not understanding the circumstances that had forced Lakshman's hand.","In his agony, Rama unfairly blamed Lakshman for leaving Sita alone, questioning why he had disobeyed his orders, not understanding the circumstances that had forced Lakshman's hand.","Question: What reproaches or accusations did Rama direct towards Lakshman in his overwhelming grief? Context: In his moment of weakness, Rama turned his grief on his loyal brother. In his agony, Rama unfairly blamed Lakshman for leaving Sita alone, questioning why he had disobeyed his orders, not understanding the circumstances that had forced Lakshman's hand. Knowledge: Lakshmana accompanies Rama | Lakshmana brother_of Rama | Lakshmana saves Rama"
Which forest was Rama's first stop in exile?,"Upon leaving Ayodhya, Rama, Sita, and Lakshmana first stayed in the tranquil forest of Chitrakoot for some time.",Chitrakoot,"Question: Which forest was Rama's first stop in exile? Context: Upon leaving Ayodhya, Rama, Sita, and Lakshmana first stayed in the tranquil forest of Chitrakoot for some time. Knowledge: Chitrakoot site_of First hermitage of Rama during exile | Dandaka Forest location_of Rama's Exile | Vishwamitra guides Rama in forest"
